event_datetime,city,temperature,light,airquality_raw,sound,humidity,dust
2015-03-08T19:00:00.000Z,San Francisco,21.27253605,3551.636169,24.74414224,1654.89752,46.24796076,1177.31719
2015-03-08T20:00:00.000Z,San Francisco,23.38754469,5468.302035,26.13495768,1684.232645,42.25622986,1244.857441
2015-03-08T21:00:00.000Z,San Francisco,25.06194787,6371.596852,26.16253057,1674.22325,38.89990309,1285.857243
2015-03-08T22:00:00.000Z,San Francisco,23.93605594,5529.747653,24.52904156,1692.89902,40.91141436,1315.763721
2015-03-08T23:00:00.000Z,San Francisco,23.91529192,3746.946718,24.29497364,1649.815362,40.99780256,1159.491403
2015-03-09T00:00:00.000Z,San Francisco,20.81232005,1745.347562,23.63031632,1661.416674,47.59311207,1125.098797
2015-03-09T01:00:00.000Z,San Francisco,18.04749015,490.4993487,23.98093477,1622.271258,55.41824634,1090.081667
2015-03-09T02:00:00.000Z,San Francisco,17.11348284,25.55225915,24.6636314,1630.585467,58.77528856,1076.716362
2015-03-09T03:00:00.000Z,San Francisco,16.07725839,0.895064233,23.63441916,1581.276086,62.00321504,1129.232149
2015-03-09T04:00:00.000Z,San Francisco,15.4586901,0.786732905,22.85301233,1571.927913,63.69309186,1127.020996
2015-03-09T05:00:00.000Z,San Francisco,15.23208301,0.463530099,22.46435511,1551.285278,63.46861453,1151.48179
2015-03-09T06:00:00.000Z,San Francisco,15.23815183,0.411848659,22.2785515,1571.273412,63.33145326,1148.218622
2015-03-09T07:00:00.000Z,San Francisco,15.20454285,0.182581786,22.21720504,1573.115029,63.14909241,1130.197338
2015-03-09T08:00:00.000Z,San Francisco,15.05088167,0.040027045,21.72990342,1564.552877,63.59733777,1089.342154
2015-03-09T09:00:00.000Z,San Francisco,15.12465843,0.043045977,21.80143308,1571.91876,63.61799938,1120.268263
2015-03-09T10:00:00.000Z,San Francisco,15.25439791,0.039291188,21.86338129,1553.88551,63.42285168,1073.517476
2015-03-09T11:00:00.000Z,San Francisco,15.42071032,0.02785666,22.09369249,1550.168045,61.44828434,1063.554908
2015-03-09T12:00:00.000Z,San Francisco,15.76114279,0.055912722,22.45816602,1567.644117,59.80433465,1058.290959
2015-03-09T13:00:00.000Z,San Francisco,15.80371272,0.072421681,23.10416728,1568.352955,59.6615414,1121.785656
